PRES,HGHT,no TEMP,no DWPT,no RELH,no MIXR,DRCT,SKNT,no THTA,no THTE,no THTV,,THTA,THTE,THTV,MIXR,g/g mixr,vapour pressure,DWPT,RELH,no RELH,no DWPT,TEMP,k temp,k dep t,saturation vp,saturated mixr,6.53833504,,,,6.570893696,
279.5599556,10183.20925,-45.01376903,-60.52479905,24.08333975,0.116055304,242.9097617,41.62535217,332.5901364,333.0408821,332.6123641,,337.8891015,1.82E+00,3.38E+02,1.58E+00,1.58E-03,7.08E-02,-53.95390535,30.10417469,24.08333975,-49.56737389,-38.47543399,234.674566,219.1960947,2.35E-01,5.24E-02,,,,,,
267.3183053,10493.46431,-46.84492817,-62.39019884,23.35443431,0.098468318,244.3526199,42.4901348,334.4566012,334.8412533,334.4747134,,339.5734579,1.69E+00,3.40E+02,1.33E+00,1.33E-03,5.73E-02,-55.81930514,29.19304289,23.35443431,-51.46980118,-40.30659313,232.8434069,217.3306949,1.96E-01,4.57E-02,,,,,,
254.9403482,10816.90057,-48.63434332,-64.32235219,23.005306,0.082427936,244.167024,43.48098878,336.6297019,336.9588328,336.6461908,,341.5639628,1.59E+00,3.42E+02,1.15E+00,1.15E-03,4.71E-02,-57.75145849,28.7566325,23.005306,-53.19516862,-42.09600828,231.0539917,215.3985415,1.64E-01,4.00E-02,,,,,,
243.4087454,11129.08779,-50.27720507,-66.06376243,22.26145869,0.068357373,245.7864855,44.51415007,338.8710689,339.1456999,338.8845268,,343.654739,1.51E+00,3.44E+02,9.85E-01,9.85E-04,3.85E-02,-59.49286873,27.82682336,22.26145869,-54.93411123,-43.73887003,229.41113,213.6571313,1.38E-01,3.54E-02,,,,,,
232.8192968,11428.39062,-51.7316852,-67.76494035,21.55147684,0.059770345,248.781046,45.06747694,341.2502593,341.4938993,341.2624318,,345.8476583,1.46E+00,3.46E+02,8.57E-01,8.57E-04,3.21E-02,-61.19404665,26.93934605,21.55147684,-56.49399718,-45.19335016,227.9566498,211.9559534,1.19E-01,3.18E-02,,,,,,
222.3282312,11735.39568,-53.18287729,-69.61049297,20.06411806,0.050525113,249.4056917,45.13851031,343.7640603,343.9706516,343.7734025,,348.2075727,1.41E+00,3.48E+02,7.17E-01,7.17E-04,2.56E-02,-63.03959927,25.08014758,20.06411806,-58.35585902,-46.64454225,226.5054578,210.1104007,1.02E-01,2.86E-02,,,,,,
212.4461121,12043.4072,-54.44229988,-71.30042196,18.49350101,0.042392892,251.2421443,45.03993673,346.6647316,346.8413799,346.6729619,,350.803568,1.37E+00,3.51E+02,6.06E-01,6.06E-04,2.07E-02,-64.72952826,23.11687626,18.49350101,-60.10900134,-47.90396484,225.2460352,208.4204717,8.95E-02,2.62E-02,,,,,,
202.5503326,12362.91056,-55.70195839,-72.95972039,17.24173872,0.034610499,251.8308635,44.78884093,349.7772777,349.9222262,349.783828,,353.6333194,1.34E+00,3.54E+02,5.17E-01,5.17E-04,1.68E-02,-66.38882669,21.5521734,17.24173872,-61.75576798,-49.16362335,223.9863767,206.7611733,7.81E-02,2.40E-02,,,,,,
193.1127247,12680.5877,-56.90892324,-74.47090962,16.34916058,0.028762062,253.3967823,44.71379103,352.98646,353.1084843,352.9928106,,356.5604244,1.31E+00,3.57E+02,4.52E-01,4.52E-04,1.40E-02,-67.90001592,20.43645073,16.34916058,-63.2136539,-50.3705882,222.7794118,205.2499841,6.85E-02,2.21E-02,,,,,,
184.3869444,12989.27765,-57.92749104,-75.87061565,15.47299355,0.024213039,255.0176359,44.35445761,356.408057,356.5137078,356.4134612,,359.6549467,1.29E+00,3.60E+02,4.00E-01,4.00E-04,1.19E-02,-69.29972195,19.34124194,15.47299355,-64.51203983,-51.389156,221.760844,203.8502781,6.13E-02,2.07E-02,,,,,,
175.7696947,13305.27967,-58.8909637,-77.27648393,14.08934237,0.019279755,254.2878356,43.54078688,360.0803459,360.1679162,360.085031,,363.0278262,1.27E+00,3.63E+02,3.43E-01,3.43E-04,9.70E-03,-70.70559023,17.61167796,14.08934237,-66.03619919,-52.35262866,220.7973713,202.4444098,5.51E-02,1.95E-02,,,,,,
167.5329114,13617.60532,-59.74157179,-78.66528983,12.64773098,0.016053831,257.7760804,42.83604516,363.9182571,363.9927694,363.922011,,366.6274147,1.26E+00,3.67E+02,2.94E-01,2.94E-04,7.92E-03,-72.09439613,15.80966373,12.64773098,-67.54884055,-53.20323675,219.9467633,201.0556039,5.01E-02,1.86E-02,,,,,,
159.458106,13934.97093,-60.61510601,-79.90995191,11.61677183,0.01306642,259.9340843,42.13897368,367.8433421,367.9071024,367.8463278,,370.3670834,1.25E+00,3.70E+02,2.57E-01,2.57E-04,6.59E-03,-73.33905821,14.52096479,11.61677183,-68.89962867,-54.07677097,219.073229,199.8109418,4.54E-02,1.77E-02,,,,,,
151.6997517,14254.84022,-61.40860064,-81.05802339,10.47744074,0.010869366,261.2635178,41.24458521,372.0125247,372.0684957,372.0148628,,374.3275087,1.24E+00,3.74E+02,2.23E-01,2.23E-04,5.43E-03,-74.48712969,13.09680093,10.47744074,-70.29584127,-54.8702656,218.2797344,198.6628703,4.15E-02,1.70E-02,,,,,,
144.5610143,14543.90746,-62.13520954,-82.04886038,9.640061366,0.009110665,260.0835916,39.65236184,375.6021994,375.6503874,375.6039906,,378.2602346,1.23E+00,3.78E+02,1.98E-01,1.98E-04,4.60E-03,-75.47796668,12.05007671,9.640061366,-71.48263521,-55.5968745,217.5531255,197.6720333,3.82E-02,1.64E-02,,,,,,
137.5394878,14857.52458,-62.83812759,-83.02739916,8.715134455,0.006916755,260.6716711,38.51259187,379.9164521,379.9556349,379.9182132,,382.4455437,1.22E+00,3.82E+02,1.73E-01,1.73E-04,3.84E-03,-76.45650546,10.89391807,8.715134455,-72.7571743,-56.29979255,216.8502075,196.6934945,3.52E-02,1.59E-02,,,,,,
131.1930933,15167.2575,-63.38579328,-83.8328464,8.125352043,0.006294105,258.4539096,36.82219751,384.5096078,384.5462194,384.511278,,386.6687592,1.22E+00,3.87E+02,1.59E-01,1.59E-04,3.36E-03,-77.2619527,10.15669005,8.125352043,-73.68316765,-56.84745824,216.3025418,195.8880473,3.31E-02,1.57E-02,,,,,,
124.9863799,15456.85119,-63.97709534,-84.64485057,7.433070585,0.004978936,259.8098827,35.490853,388.5692048,388.598954,388.5701709,,390.9939573,1.22E+00,3.91E+02,1.43E-01,1.43E-04,2.87E-03,-78.07395687,9.291338231,7.433070585,-74.76325368,-57.4387603,215.7112397,195.0760431,3.09E-02,1.54E-02,,,,,,
118.8604537,15764.02907,-64.51296297,-85.32821893,6.969410675,0.003873173,260.9420952,33.98960849,393.238944,393.2642934,393.2402983,,395.6688593,1.22E+00,3.96E+02,1.32E-01,1.32E-04,2.53E-03,-78.75732523,8.711763344,6.969410675,-75.62635591,-57.97462793,215.1753721,194.3926748,2.90E-02,1.52E-02,,,,,,
113.224357,16057.05983,-64.94922148,-85.96557387,6.35603852,0.002916462,259.8966176,32.8252725,397.9029074,397.9254276,397.9039848,,400.3910446,1.22E+00,4.00E+02,1.20E-01,1.20E-04,2.19E-03,-79.39468017,7.94504815,6.35603852,-76.58149798,-58.41088644,214.7391136,193.7553198,2.75E-02,1.51E-02,,,,,,
107.8993202,16348.38271,-65.34790471,-86.52729581,5.861388784,0.002319789,260.612148,31.50215454,402.6505501,402.6712172,402.6513117,,405.1918932,1.22E+00,4.05E+02,1.11E-01,1.11E-04,1.93E-03,-79.95640211,7.32673598,5.861388784,-77.4260347,-58.80956967,214.3404303,193.1935979,2.63E-02,1.51E-02,,,,,,
102.7008515,16639.22051,-65.70889535,-87.03430677,5.407156109,0.001846487,260.6019667,29.91714086,407.5151679,407.5343563,407.5161568,,410.2625445,1.22E+00,4.10E+02,1.03E-01,1.03E-04,1.70E-03,-80.46341307,6.758945136,5.407156109,-78.23088873,-59.17056031,213.9794397,192.6865869,2.52E-02,1.53E-02,,,,,,
97.99353113,16919.10221,-65.96345798,-87.44687959,5.142074192,0.001623969,258.9925134,28.35353314,412.4619743,412.480253,412.4625733,,415.310219,1.22E+00,4.15E+02,9.96E-02,9.96E-05,1.57E-03,-80.87598589,6.42759274,5.142074192,-78.75277526,-59.42512294,213.7248771,192.2740141,2.44E-02,1.55E-02,,,,,,
93.48596253,17196.39245,-66.18103676,-87.82809916,4.779920948,0.001343393,256.4973811,26.69043081,417.4817594,417.498491,417.4825002,,420.5128326,1.23E+00,4.21E+02,9.44E-02,9.44E-05,1.42E-03,-81.25720546,5.974901185,4.779920948,-79.38489307,-59.64270172,213.5072983,191.8927945,2.38E-02,1.58E-02,,,,,,
89.37671856,17458.75418,-66.30980641,-88.16033453,4.373298351,0.000891419,256.6055582,25.28867759,422.4395775,422.4566118,422.4398283,,425.6969475,1.24E+00,4.26E+02,8.91E-02,8.91E-05,1.28E-03,-81.58944083,5.466622939,4.373298351,-80.04075071,-59.77147137,213.3785286,191.5605592,2.34E-02,1.63E-02,,,,,,
85.6243393,17708.08333,-66.37428105,-88.45160547,4.106397337,0.000761726,252.7396878,24.21729308,427.3083086,427.3250354,427.3087512,,430.8207979,1.25E+00,4.31E+02,8.67E-02,8.67E-05,1.19E-03,-81.88071177,5.132996671,4.106397337,-80.48115517,-59.83594601,213.314054,191.2692882,2.33E-02,1.69E-02,,,,,,
81.99441868,17963.22816,-66.43416699,-88.7073306,3.903057095,0.000644961,251.6854993,23.02269569,432.4117381,432.427166,432.4120255,,436.069007,1.26E+00,4.36E+02,8.54E-02,8.54E-05,1.13E-03,-82.1364369,4.878821369,3.903057095,-80.84082073,-59.89583195,213.2541681,191.0135631,2.31E-02,1.75E-02,,,,,,
78.69311607,18207.8814,-66.36585276,-88.89294897,3.711530519,0.000512082,248.2742965,22.00727016,437.6490611,437.6664313,437.649805,,441.3658428,1.27E+00,4.41E+02,8.54E-02,8.54E-05,1.08E-03,-82.32205527,4.639413149,3.711530519,-81.09588234,-59.82751772,213.3224823,190.8279447,2.33E-02,1.84E-02,,,,,,
75.38571819,18458.86607,-66.28039063,-89.07536742,3.547937726,0.000472697,250.606823,21.05303113,443.0977748,443.1130583,443.0982841,,446.9983363,1.29E+00,4.47E+02,8.60E-02,8.60E-05,1.04E-03,-82.50447372,4.434922158,3.547937726,-81.30485708,-59.74205559,213.4079444,190.6455263,2.35E-02,1.94E-02,,,,,,
72.40495222,18688.01343,-66.19934794,-89.23966294,3.425613836,0.000351413,248.1819899,20.36150563,448.0188498,448.0355924,448.0195419,,452.3574541,1.31E+00,4.52E+02,8.74E-02,8.74E-05,1.02E-03,-82.66876924,4.282017295,3.425613836,-81.45590332,-59.6610129,213.4889871,190.4812308,2.38E-02,2.04E-02,,,,,,
69.55209366,18933.6845,-66.00284467,-89.37002958,3.233015774,0.000366714,246.2355247,19.5803267,453.7582133,453.7751457,453.758647,,458.0093188,1.33E+00,4.58E+02,8.77E-02,8.77E-05,9.83E-04,-82.79913588,4.041269718,3.233015774,-81.65595162,-59.46450963,213.6854904,190.3508641,2.43E-02,2.17E-02,,,,,,
66.76851625,19180.31675,-65.78289744,-89.47235325,3.088344315,0.000349552,244.3986901,18.81010152,459.6343079,459.6505815,459.6346973,,463.8678906,1.36E+00,4.64E+02,8.99E-02,8.99E-05,9.64E-04,-82.90145955,3.860430394,3.088344315,-81.76444797,-59.2445624,213.9054376,190.2485405,2.50E-02,2.33E-02,,,,,,
64.15445832,19424.07216,-65.56875456,-89.56424502,2.924260954,0.000375306,241.4475227,18.1879338,465.5039093,465.5240053,465.5049286,,469.6664163,1.39E+00,4.70E+02,9.07E-02,9.07E-05,9.36E-04,-82.99335132,3.655326193,2.924260954,-81.93107586,-59.03041952,214.1195805,190.1566487,2.56E-02,2.48E-02,,,,,,
61.65086494,19670.62275,-65.26786092,-89.63157026,2.742556462,0.000447341,237.9226096,17.20578724,471.7219452,471.7416323,471.7221893,,475.7114977,1.42E+00,4.76E+02,9.19E-02,9.19E-05,9.09E-04,-83.06067656,3.428195578,2.742556462,-82.08935796,-58.72952588,214.4204741,190.0893234,2.65E-02,2.68E-02,,,,,,
59.19004151,19924.58934,-64.9434461,-89.67008234,2.56723469,0.00060173,236.1461767,16.64893442,478.2379036,478.258377,478.2390262,,482.0140792,1.46E+00,4.82E+02,9.31E-02,9.31E-05,8.84E-04,-83.09918864,3.209043363,2.56723469,-82.24176337,-58.40511106,214.7448889,190.0508114,2.76E-02,2.90E-02,,,,,,
56.86033639,20171.60762,-64.64805249,-89.71666993,2.438122978,0.000791882,233.8148688,16.15754641,484.5745131,484.5960602,484.5755349,,488.2523323,1.51E+00,4.88E+02,9.51E-02,9.51E-05,8.70E-04,-83.14577623,3.047653723,2.438122978,-82.32949527,-58.10971745,215.0402826,190.0042238,2.85E-02,3.12E-02,,,,,,
54.63959087,20416.53258,-64.33365972,-89.75538258,2.313114241,0.000981791,229.7338223,15.71160168,490.9686395,490.993067,490.9696928,,494.569326,1.56E+00,4.95E+02,9.74E-02,9.74E-05,8.56E-04,-83.18448888,2.891392801,2.313114241,-82.4097781,-57.79532468,215.3546753,189.9655111,2.96E-02,3.37E-02,,,,,,
52.56434452,20653.62143,-63.96854569,-89.76591545,2.196115095,0.001122449,226.7474754,15.31146997,497.3818942,497.406823,497.382764,,500.9245182,1.62E+00,5.01E+02,1.00E-01,1.00E-04,8.48E-04,-83.19502175,2.745143869,2.196115095,-82.4484256,-57.43021065,215.7197894,189.9549783,3.09E-02,3.66E-02,,,,,,
