,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
49,175.7696947,13305.27967,-58.8909637,-77.27648393,14.08934237,0.019279755,254.2878356,43.54078688,360.0803459,360.1679162,360.085031
50,167.5329114,13617.60532,-59.74157179,-78.66528983,12.64773098,0.016053831,257.7760804,42.83604516,363.9182571,363.9927694,363.922011
51,159.458106,13934.97093,-60.61510601,-79.90995191,11.61677183,0.01306642,259.9340843,42.13897368,367.8433421,367.9071024,367.8463278
52,151.6997517,14254.84022,-61.40860064,-81.05802339,10.47744074,0.010869366,261.2635178,41.24458521,372.0125247,372.0684957,372.0148628
53,144.5610143,14543.90746,-62.13520954,-82.04886038,9.640061366,0.009110665,260.0835916,39.65236184,375.6021994,375.6503874,375.6039906
54,137.5394878,14857.52458,-62.83812759,-83.02739916,8.715134455,0.006916755,260.6716711,38.51259187,379.9164521,379.9556349,379.9182132
55,131.1930933,15167.2575,-63.38579328,-83.8328464,8.125352043,0.006294105,258.4539096,36.82219751,384.5096078,384.5462194,384.511278
56,124.9863799,15456.85119,-63.97709534,-84.64485057,7.433070585,0.004978936,259.8098827,35.490853,388.5692048,388.598954,388.5701709
57,118.8604537,15764.02907,-64.51296297,-85.32821893,6.969410675,0.003873173,260.9420952,33.98960849,393.238944,393.2642934,393.2402983
58,113.224357,16057.05983,-64.94922148,-85.96557387,6.35603852,0.002916462,259.8966176,32.8252725,397.9029074,397.9254276,397.9039848
59,107.8993202,16348.38271,-65.34790471,-86.52729581,5.861388784,0.002319789,260.612148,31.50215454,402.6505501,402.6712172,402.6513117
60,102.7008515,16639.22051,-65.70889535,-87.03430677,5.407156109,0.001846487,260.6019667,29.91714086,407.5151679,407.5343563,407.5161568
61,97.99353113,16919.10221,-65.96345798,-87.44687959,5.142074192,0.001623969,258.9925134,28.35353314,412.4619743,412.480253,412.4625733
62,93.48596253,17196.39245,-66.18103676,-87.82809916,4.779920948,0.001343393,256.4973811,26.69043081,417.4817594,417.498491,417.4825002
63,89.37671856,17458.75418,-66.30980641,-88.16033453,4.373298351,0.000891419,256.6055582,25.28867759,422.4395775,422.4566118,422.4398283
64,85.6243393,17708.08333,-66.37428105,-88.45160547,4.106397337,0.000761726,252.7396878,24.21729308,427.3083086,427.3250354,427.3087512
65,81.99441868,17963.22816,-66.43416699,-88.7073306,3.903057095,0.000644961,251.6854993,23.02269569,432.4117381,432.427166,432.4120255
66,78.69311607,18207.8814,-66.36585276,-88.89294897,3.711530519,0.000512082,248.2742965,22.00727016,437.6490611,437.6664313,437.649805
67,75.38571819,18458.86607,-66.28039063,-89.07536742,3.547937726,0.000472697,250.606823,21.05303113,443.0977748,443.1130583,443.0982841
68,72.40495222,18688.01343,-66.19934794,-89.23966294,3.425613836,0.000351413,248.1819899,20.36150563,448.0188498,448.0355924,448.0195419
69,69.55209366,18933.6845,-66.00284467,-89.37002958,3.233015774,0.000366714,246.2355247,19.5803267,453.7582133,453.7751457,453.758647
70,66.76851625,19180.31675,-65.78289744,-89.47235325,3.088344315,0.000349552,244.3986901,18.81010152,459.6343079,459.6505815,459.6346973
71,64.15445832,19424.07216,-65.56875456,-89.56424502,2.924260954,0.000375306,241.4475227,18.1879338,465.5039093,465.5240053,465.5049286
72,61.65086494,19670.62275,-65.26786092,-89.63157026,2.742556462,0.000447341,237.9226096,17.20578724,471.7219452,471.7416323,471.7221893
73,59.19004151,19924.58934,-64.9434461,-89.67008234,2.56723469,0.00060173,236.1461767,16.64893442,478.2379036,478.258377,478.2390262
74,56.86033639,20171.60762,-64.64805249,-89.71666993,2.438122978,0.000791882,233.8148688,16.15754641,484.5745131,484.5960602,484.5755349
75,54.63959087,20416.53258,-64.33365972,-89.75538258,2.313114241,0.000981791,229.7338223,15.71160168,490.9686395,490.993067,490.9696928
