PRES	HGHT	DRCT	SKNT	THTA	THTE	THTV	MIXR	DWPT	RELH	TEMP													
113.224357	16057.05983	259.8966176	32.8252725	400.3910446	1.215108484	400.420346	0.119970227	-79.39468017	7.94504815	-58.41088644													
107.8993202	16348.38271	260.612148	31.50215454	405.1918932	1.215797025	405.2192382	0.110633713	-79.95640211	7.32673598	-58.80956967													
102.7008515	16639.22051	260.6019667	29.91714086	410.2625445	1.219582866	410.2884244	0.103411861	-80.46341307	6.758945136	-59.17056031													
97.99353113	16919.10221	258.9925134	28.35353314	415.310219	1.223279411	415.3354586	0.099627687	-80.87598589	6.42759274	-59.42512294													
93.48596253	17196.39245	256.4973811	26.69043081	420.5128326	1.228561659	420.5370483	0.094403439	-81.25720546	5.974901185	-59.64270172													
89.37671856	17458.75418	256.6055582	25.28867759	425.6969475	1.237046226	425.7200861	0.089105954	-81.58944083	5.466622939	-59.77147137													
85.6243393	17708.08333	252.7396878	24.21729308	430.8207979	1.247189668	430.8435952	0.086747644	-81.88071177	5.132996671	-59.83594601													
81.99441868	17963.22816	251.6854993	23.02269569	436.069007	1.257394002	436.0917181	0.085379374	-82.1364369	4.878821369	-59.89583195													
78.69311607	18207.8814	248.2742965	22.00727016	441.3658428	1.272590824	441.3888259	0.085365202	-82.32205527	4.639413149	-59.82751772													
75.38571819	18458.86607	250.606823	21.05303113	446.9983363	1.289686075	447.0217961	0.08603749	-82.50447372	4.434922158	-59.74205559													
72.40495222	18688.01343	248.1819899	20.36150563	452.3574541	1.307011084	452.3815582	0.087353153	-82.66876924	4.282017295	-59.6610129													
69.55209366	18933.6845	246.2355247	19.5803267	458.0093188	1.329762054	458.0338197	0.087695553	-82.79913588	4.041269718	-59.46450963													
66.76851625	19180.31675	244.3986901	18.81010152	463.8678906	1.358224637	463.8933422	0.089948028	-82.90145955	3.860430394	-59.2445624													
64.15445832	19424.07216	241.4475227	18.1879338	469.6664163	1.38548045	469.6923878	0.09065209	-82.99335132	3.655326193	-59.03041952													
61.65086494	19670.62275	237.9226096	17.20578724	475.7114977	1.422571112	475.7381585	0.091875641	-83.06067656	3.428195578	-58.72952588													
59.19004151	19924.58934	236.1461767	16.64893442	482.0140792	1.464445877	482.0414422	0.093062258	-83.09918864	3.209043363	-58.40511106													
56.86033639	20171.60762	233.8148688	16.15754641	488.2523323	1.507597298	488.2806524	0.095086796	-83.14577623	3.047653723	-58.10971745													
54.63959087	20416.53258	229.7338223	15.71160168	494.569326	1.558153642	494.5987224	0.097439937	-83.18448888	2.891392801	-57.79532468													
52.56434452	20653.62143	226.7474754	15.31146997	500.9245182	1.618812875	500.9552189	0.100472266	-83.19502175	2.745143869	-57.43021065													
50.53785163	20901.93964	222.3484893	15.28631779	507.4458524	1.686171582	507.4780189	0.103916492	-83.18353054	2.617543889	-57.06525641													
48.58859236	21156.50035	220.3198409	15.31604538	514.1730798	1.767745633	514.2069896	0.10811513	-83.13940756	2.496885216	-56.64987588													
46.67950352	21422.42305	219.7341772	15.06543393	521.1887052	1.867791925	521.2242005	0.111646677	-83.07608233	2.350456358	-56.19728133													
44.86218746	21676.13711	219.7641527	14.97836609	528.2262764	1.981272832	528.2637117	0.116179954	-83.01910473	2.23422988	-55.75086654													
43.18480387	21924.50709	216.393365	15.00346837	535.1629443	2.115177857	535.2024664	0.121066518	-82.9316045	2.123974003	-55.28338462													
41.45033473	22187.46808	213.5344354	15.03296653	542.7567855	2.287553098	542.7990269	0.127586108	-82.81370141	2.02517631	-54.76727459													
39.76430059	22465.08087	212.9765938	15.15851501	550.4901727	2.490094971	550.5347371	0.132711544	-82.70165076	1.909518619	-54.27071168													
38.03305442	22748.62924	208.2105578	15.57144893	559.0140928	2.763594416	559.062304	0.141382331	-82.55101243	1.824288139	-53.6932915													
36.50037252	23010.38737	207.8118644	15.76511924	566.8801269	3.058950236	566.931381	0.148220353	-82.41985141	1.737636025	-53.20795484													
34.99042107	23298.56639	208.4611793	16.02306967	575.0364636	3.420884937	575.0911711	0.155963033	-82.28071052	1.660948165	-52.72297113													
33.51070023	23567.81654	210.171611	16.43525605	583.4181842	3.850240395	583.4769865	0.165228329	-82.14547304	1.604158533	-52.256751													
32.12689656	23848.85863	211.6197661	16.68301484	591.8364518	4.440887972	591.9000122	0.176057774	-81.98444452	1.544366435	-51.75583024													
30.83912392	24114.83724	210.2028915	17.11386126	600.218103	5.187655442	600.2864632	0.186708622	-81.80973828	1.481814463	-51.23213215													
29.57338318	24382.60717	209.7094763	17.251613	608.8850463	6.136639499	608.95897	0.199029945	-81.61367645	1.43187011	-50.70994322													
28.42378856	24611.28908	207.8593793	17.70816429	616.9991935	7.166188131	617.0784026	0.210455749	-81.46471088	1.393746685	-50.28717155													
27.40209534	24840.30496	209.793239	18.245374	624.5728303	8.482199995	624.6570661	0.221097587	-81.37928813	1.34815602	-49.90114147													
26.24072765	25143.17262	210.0715646	18.51779025	633.8440899	10.56841632	633.9343455	0.233432866	-81.23950129	1.289684343	-49.37604118													
25.22019465	25375.30413	214.6818839	18.80355451	642.3213413	12.98588885	642.4186667	0.248395542	-81.05707484	1.260891074	-48.94132922													
24.23691466	25640.88851	214.9567446	19.27327688	651.0101442	16.58284333	651.1152209	0.264599459	-80.86754999	1.224997496	-48.47835075													
