PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV																						
137.5394878	14857.52458	-62.83812759	-64.30109111	8.715134455	0.726482829	260.6716711	38.51259187	382.4455437	463.5351592	382.6150262																						
131.1930933	15167.2575	-63.38579328	-64.88200555	8.125352043	0.711970897	258.4539096	36.82219751	386.6687592	463.0471088	386.8366903																						
124.9863799	15456.85119	-63.97709534	-65.5165605	7.433070585	0.694585669	259.8098827	35.490853	390.9939573	462.544608	391.1596204																						
118.8604537	15764.02907	-64.51296297	-66.08156049	6.969410675	0.683267079	260.9420952	33.98960849	395.6688593	463.2267241	395.8337713																						
113.224357	16057.05983	-64.94922148	-66.5643044	6.35603852	0.679204468	259.8966176	32.8252725	400.3910446	465.0113081	400.5569325																						
107.8993202	16348.38271	-65.34790471	-67.00320083	5.861388784	0.677933955	260.612148	31.50215454	405.1918932	467.3041523	405.3594561																						
102.7008515	16639.22051	-65.70889535	-67.4044693	5.407156109	0.680581983	260.6019667	29.91714086	410.2625445	470.2862953	410.4328671																						
97.99353113	16919.10221	-65.96345798	-67.68342014	5.142074192	0.690696537	258.9925134	28.35353314	415.310219	474.1042914	415.4851995																						
93.48596253	17196.39245	-66.18103676	-67.9389457	4.779920948	0.704321273	256.4973811	26.69043081	420.5128326	478.3957314	420.6935																						
89.37671856	17458.75418	-66.30980641	-68.11619978	4.373298351	0.724766689	256.6055582	25.28867759	425.6969475	483.3355128	425.8851514																						
85.6243393	17708.08333	-66.37428105	-68.21543102	4.106397337	0.750360279	252.7396878	24.21729308	430.8207979	488.6767335	431.0179931																						
81.99441868	17963.22816	-66.43416699	-68.3031493	3.903057095	0.777639444	251.6854993	23.02269569	436.069007	494.1839799	436.2758607																						
78.69311607	18207.8814	-66.36585276	-68.26489356	3.711530519	0.817325869	248.2742965	22.00727016	441.3658428	500.7207194	441.585894																						
75.38571819	18458.86607	-66.28039063	-68.20687559	3.547937726	0.862491847	250.606823	21.05303113	446.9983363	507.7908245	447.2335111																						
72.40495222	18688.01343	-66.19934794	-68.14751589	3.425613836	0.907278503	248.1819899	20.36150563	452.3574541	514.5371766	452.6078068																						
69.55209366	18933.6845	-66.00284467	-67.98813759	3.233015774	0.96830006	246.2355247	19.5803267	458.0093188	522.6063592	458.279848																						
66.76851625	19180.31675	-65.78289744	-67.79900346	3.088344315	1.037111005	244.3986901	18.81010152	463.8678906	531.1976998	464.1613509																						
64.15445832	19424.07216	-65.56875456	-67.62073293	2.924260954	1.108928683	241.4475227	18.1879338	469.6664163	539.7726784	469.9841205																						
61.65086494	19670.62275	-65.26786092	-67.36323239	2.742556462	1.198497739	237.9226096	17.20578724	475.7114977	549.5642046	476.0592826																						
59.19004151	19924.58934	-64.9434461	-67.08406034	2.56723469	1.300187501	236.1461767	16.64893442	482.0140792	560.079826	482.3963715																						
56.86033639	20171.60762	-64.64805249	-66.82512547	2.438122978	1.404410656	233.8148688	16.15754641	488.2523323	570.4318187	488.6706134																						
54.63959087	20416.53258	-64.33365972	-66.54840773	2.313114241	1.519943102	229.7338223	15.71160168	494.569326	581.292235	495.0278735																						
52.56434452	20653.62143	-63.96854569	-66.22191909	2.196115095	1.65332454	226.7474754	15.31146997	500.9245182	593.0378314	501.4297146																						
50.53785163	20901.93964	-63.60359145	-65.89329771	2.094035111	1.799160266	222.3484893	15.28631779	507.4458524	605.2978211	508.002768																						
48.58859236	21156.50035	-63.18821092	-65.51543052	1.997508173	1.969789219	220.3198409	15.31604538	514.1730798	618.8293112	514.7908955																						
46.67950352	21422.42305	-62.73561637	-65.10931094	1.880365086	2.167654596	219.7341772	15.06543393	521.1887052	633.7148372	521.877857																						
44.86218746	21676.13711	-62.28920158	-64.70379805	1.787383904	2.382135735	219.7641527	14.97836609	528.2262764	649.1014129	528.9938435																						
43.18480387	21924.50709	-61.82171966	-64.27796925	1.699179202	2.619744805	216.393365	15.00346837	535.1629443	665.3223719	536.0181584																						
41.45033473	22187.46808	-61.30560963	-63.80326859	1.620141048	2.905706635	213.5344354	15.03296653	542.7567855	683.9613861	543.7188116																						
39.76430059	22465.08087	-60.80904672	-63.35464891	1.527614895	3.216041849	212.9765938	15.15851501	550.4901727	703.3190561	551.5701164																						
38.03305442	22748.62924	-60.23162654	-62.81971963	1.459430511	3.603924373	208.2105578	15.57144893	559.0140928	726.402562	560.243026																						
36.50037252	23010.38737	-59.74628988	-62.37661485	1.39010882	3.979528204	207.8118644	15.76511924	566.8801269	747.8010764	568.2562353																						
34.99042107	23298.56639	-59.26130617	-61.93201145	1.328758532	4.397836938	208.4611793	16.02306967	575.0364636	770.6680112	576.5791027																						
33.51070023	23567.81654	-58.79508604	-61.49961463	1.283326826	4.852747519	210.171611	16.43525605	583.4181842	794.5068632	585.1452047																						
32.12689656	23848.85863	-58.29416528	-61.03565559	1.235493148	5.369752899	211.6197661	16.68301484	591.8364518	820.6700207	593.7750413																						
30.83912392	24114.83724	-57.77046719	-60.55188873	1.18545157	5.948557512	210.2028915	17.11386126	600.218103	849.0456233	602.3960665																						
29.57338318	24382.60717	-57.24827826	-60.0654966	1.145496088	6.593217128	209.7094763	17.251613	608.8850463	879.5551764	611.3338982																						
28.42378856	24611.28908	-56.82550659	-59.67140923	1.114997348	7.205515909	207.8593793	17.70816429	616.9991935	907.2993479	619.71113																						
27.40209534	24840.30496	-56.43947651	-59.31710819	1.078524816	7.815986305	209.793239	18.245374	624.5728303	934.1519587	627.5506384																						
26.24072765	25143.17262	-55.91437622	-58.83488165	1.031747474	8.671569678	210.0715646	18.51779025	633.8440899	971.2170164	637.196908																						
25.22019465	25375.30413	-55.47966426	-58.42697698	1.008712859	9.484335183	214.6818839	18.80355451	642.3213413	1005.086783	646.0374557																						
24.23691466	25640.88851	-55.01668579	-57.99577612	0.979997997	10.40577567	214.9567446	19.27327688	651.0101442	1042.802333	655.1424462																						
