PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV																								
56.86033639	20171.60762	-58.10971745	182.6286059	3.047653723	3.11763896	233.8148688	16.15754641	488.2523325	1.507597298	488.2806524																								
54.63959087	20416.53258	-57.79532468	183.8248389	2.891392801	3.369571351	229.7338223	15.71160168	494.5693259	1.558153642	494.5987224																								
52.56434452	20653.62143	-57.43021065	184.9676439	2.745143869	3.656432925	226.7474754	15.31146997	500.9245183	1.618812875	500.9552189																								
50.53785163	20901.93964	-57.06525641	185.9933911	2.617543889	3.963049349	222.3484893	15.28631779	507.4458524	1.686171582	507.4780189																								
48.58859236	21156.50035	-56.64987588	186.9769854	2.496885216	4.326859244	220.3198409	15.31604538	514.1730798	1.767745633	514.2069896																								
46.67950352	21422.42305	-56.19728133	188.2689288	2.350456358	4.743666562	219.7341772	15.06543393	521.1887053	1.867791925	521.2242005																								
44.86218746	21676.13711	-55.75086654	189.3120153	2.23422988	5.19925606	219.7641527	14.97836609	528.2262765	1.981272832	528.2637117																								
43.18480387	21924.50709	-55.28338462	190.3357834	2.123974003	5.703673004	216.393365	15.00346837	535.1629444	2.115177857	535.2024664																								
41.45033473	22187.46808	-54.76727459	191.2561983	2.02517631	6.302482277	213.5344354	15.03296653	542.7567854	2.287553098	542.7990269																								
39.76430059	22465.08087	-54.27071168	192.4552221	1.909518619	6.945124041	212.9765938	15.15851501	550.4901726	2.490094971	550.5347371																								
38.03305442	22748.62924	-53.6932915	193.2869854	1.824288139	7.751888574	208.2105578	15.57144893	559.0140928	2.763594416	559.062304																								
36.50037252	23010.38737	-53.20795484	194.2324154	1.737636025	8.537501907	207.8118644	15.76511924	566.880127	3.058950236	566.931381																								
34.99042107	23298.56639	-52.72297113	195.0881035	1.660948165	9.385883049	208.4611793	16.02306967	575.0364637	3.420884937	575.0911711																								
33.51070023	23567.81654	-52.256751	195.7007515	1.604158533	10.33860819	210.171611	16.43525605	583.4181842	3.850240395	583.4769865																								
32.12689656	23848.85863	-51.75583024	196.3713884	1.544366435	11.38410613	211.6197661	16.68301484	591.8364519	4.440887972	591.9000122																								
30.83912392	24114.83724	-51.23213215	197.1089031	1.481814463	12.56540234	210.2028915	17.11386126	600.2181032	5.187655442	600.2864632																								
29.57338318	24382.60717	-50.70994322	197.6771541	1.43187011	13.88140131	209.7094763	17.251613	608.8850463	6.136639499	608.95897																								
28.42378856	24611.28908	-50.28717155	198.1178914	1.393746685	15.12120733	207.8593793	17.70816429	616.9991937	7.166188131	617.0784026																								
27.40209534	24840.30496	-49.90114147	198.7224538	1.34815602	16.36597473	209.793239	18.245374	624.5728302	8.482199995	624.6570661																								
26.24072765	25143.17262	-49.37604118	199.5205641	1.289684343	18.10955879	210.0715646	18.51779025	633.8440898	10.56841632	633.9343455																								
25.22019465	25375.30413	-48.94132922	199.8489401	1.260891074	19.73022044	214.6818839	18.80355451	642.3213414	12.98588885	642.4186667																								
24.23691466	25640.88851	-48.47835075	200.3109422	1.224997496	21.58286264	214.9567446	19.27327688	651.0101444	16.58284333	651.1152209																								
