PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV																						
137.5394878	14857.52458	-62.83812759	-79.61391924	8.715134455	0.726482829	260.6716711	38.51259187	370.6497333	449.2382927	370.8139884																						
131.1930933	15167.2575	-63.38579328	-80.49782712	8.125352043	0.711970897	258.4539096	36.82219751	374.7124956	448.7291347	374.8752341																						
124.9863799	15456.85119	-63.97709534	-81.52613862	7.433070585	0.694585669	259.8098827	35.490853	378.8708126	448.2029663	379.0313391																						
118.8604537	15764.02907	-64.51296297	-82.35143074	6.969410675	0.683267079	260.9420952	33.98960849	383.3702125	448.828164	383.5299985																						
113.224357	16057.05983	-64.94922148	-83.2559271	6.35603852	0.679204468	259.8966176	32.8252725	387.9203335	450.527913	388.0810546																						
107.8993202	16348.38271	-65.34790471	-84.05643485	5.861388784	0.677933955	260.612148	31.50215454	392.548179	452.7222709	392.7105133																						
102.7008515	16639.22051	-65.70889535	-84.81829559	5.407156109	0.680581983	260.6019667	29.91714086	397.4390071	455.5866013	397.6040059																						
97.99353113	16919.10221	-65.96345798	-85.31345627	5.142074192	0.690696537	258.9925134	28.35353314	402.3134452	459.267608	402.4829499																						
93.48596253	17196.39245	-66.18103676	-85.90819231	4.779920948	0.704321273	256.4973811	26.69043081	407.3398369	463.4094946	407.5148448																						
89.37671856	17458.75418	-66.30980641	-86.51997451	4.373298351	0.724766689	256.6055582	25.28867759	412.3535065	468.185395	412.5358112																						
85.6243393	17708.08333	-66.37428105	-86.92963377	4.106397337	0.750360279	252.7396878	24.21729308	417.3126685	473.3545657	417.5036808																						
81.99441868	17963.22816	-66.43416699	-87.26462535	3.903057095	0.777639444	251.6854993	23.02269569	422.3924836	478.6847845	422.5928498																						
78.69311607	18207.8814	-66.36585276	-87.49618464	3.711530519	0.817325869	248.2742965	22.00727016	427.5276266	485.02154	427.7407785																						
75.38571819	18458.86607	-66.28039063	-87.68434862	3.547937726	0.862491847	250.606823	21.05303113	432.989136	491.8763505	433.2169402																						
72.40495222	18688.01343	-66.19934794	-87.81934335	3.425613836	0.907278503	248.1819899	20.36150563	438.1856776	498.4173894	438.428187																						
69.55209366	18933.6845	-66.00284467	-87.99339298	3.233015774	0.96830006	246.2355247	19.5803267	443.6736717	506.2488311	443.9357334																						
66.76851625	19180.31675	-65.78289744	-88.08177101	3.088344315	1.037111005	244.3986901	18.81010152	449.3637999	514.5883596	449.6480844																						
64.15445832	19424.07216	-65.56875456	-88.22421245	2.924260954	1.108928683	241.4475227	18.1879338	454.9957059	522.9120974	455.3034862																						
61.65086494	19670.62275	-65.26786092	-88.3544615	2.742556462	1.198497739	237.9226096	17.20578724	460.8728127	532.4218606	461.2097492																						
59.19004151	19924.58934	-64.9434461	-88.47819539	2.56723469	1.300187501	236.1461767	16.64893442	467.001514	542.6358647	467.3718996																						
56.86033639	20171.60762	-64.64805249	-88.54383	2.438122978	1.404410656	233.8148688	16.15754641	473.0663628	552.6898446	473.4716342																						
54.63959087	20416.53258	-64.33365972	-88.60170248	2.313114241	1.519943102	229.7338223	15.71160168	479.2093374	563.2388669	479.6536437																						
52.56434452	20653.62143	-63.96854569	-88.61858201	2.196115095	1.65332454	226.7474754	15.31146997	485.3934859	574.6508502	485.8830188																						
50.53785163	20901.93964	-63.60359145	-88.6127043	2.094035111	1.799160266	222.3484893	15.28631779	491.7392004	586.5624187	492.2788781																						
48.58859236	21156.50035	-63.18821092	-88.56847286	1.997508173	1.969789219	220.3198409	15.31604538	498.2887387	599.7118267	498.8874682																						
46.67950352	21422.42305	-62.73561637	-88.57208875	1.880365086	2.167654596	219.7341772	15.06543393	505.1212196	614.1783355	505.7891259																						
44.86218746	21676.13711	-62.28920158	-88.52772128	1.787383904	2.382135735	219.7641527	14.97836609	511.9752718	629.1316565	512.7192245																						
43.18480387	21924.50709	-61.82171966	-88.46902682	1.699179202	2.619744805	216.393365	15.00346837	518.7338596	644.8974944	519.5628193																						
41.45033473	22187.46808	-61.30560963	-88.36020404	1.620141048	2.905706635	213.5344354	15.03296653	526.1339541	663.0139284	527.0665165																						
39.76430059	22465.08087	-60.80904672	-88.3299134	1.527614895	3.216041849	212.9765938	15.15851501	533.6687423	681.8276051	534.7156859																						
38.03305442	22748.62924	-60.23162654	-88.17001954	1.459430511	3.603924373	208.2105578	15.57144893	541.9771401	704.2641469	543.1686194																						
36.50037252	23010.38737	-59.74628988	-88.09506196	1.39010882	3.979528204	207.8118644	15.76511924	549.6415665	725.0607943	550.9758281																						
34.99042107	23298.56639	-59.26130617	-88.0023309	1.328758532	4.397836938	208.4611793	16.02306967	557.5883469	747.2839195	559.0841783																						
33.51070023	23567.81654	-58.79508604	-87.86646742	1.283326826	4.852747519	210.171611	16.43525605	565.753107	770.4503195	567.4278358																						
32.12689656	23848.85863	-58.29416528	-87.72551237	1.235493148	5.369752899	211.6197661	16.68301484	573.9570266	795.8775157	575.8370512																						
30.83912392	24114.83724	-57.77046719	-87.58914649	1.18545157	5.948557512	210.2028915	17.11386126	582.1282583	823.4564193	584.2405806																						
29.57338318	24382.60717	-57.24827826	-87.41577838	1.145496088	6.593217128	209.7094763	17.251613	590.5770704	853.108682	592.9522902																						
28.42378856	24611.28908	-56.82550659	-87.27226944	1.114997348	7.205515909	207.8593793	17.70816429	598.4824344	880.0703925	601.1129829																						
27.40209534	24840.30496	-56.43947651	-87.19105376	1.078524816	7.815986305	209.793239	18.245374	605.8611899	906.165606	608.7497856																						
26.24072765	25143.17262	-55.91437622	-87.07712861	1.031747474	8.671569678	210.0715646	18.51779025	614.8992508	942.1885054	618.1518573																						
25.22019465	25375.30413	-55.47966426	-86.90387112	1.008712859	9.484335183	214.6818839	18.80355451	623.1603503	975.1041908	626.7656099																						
24.23691466	25640.88851	-55.01668579	-86.74802753	0.979997997	10.40577567	214.9567446	19.27327688	631.6299778	1011.758757	635.6392637																						
